year,serial,pernum,winning_model_p,winning_model_high_recall
2016,1203863,1,0.28497582543023253,1
2012,42568,1,0.1288340622271164,0
2018,116770,2,0.23979432775739967,0
2019,136062,1,0.27002998190539507,1
2013,446809,1,0.17602437734610246,0
2019,808947,1,0.17182926206049975,0
2015,1158604,1,0.21632671725412922,0
2014,1196969,1,0.18821024937175593,0
2011,1181991,1,0.14689021673417837,0
2018,887736,1,0.20504222168950365,0
2013,1250985,1,0.13892519337107642,0
2019,797269,1,0.19807328620731413,0
2018,122413,1,0.21026158572072512,0
2013,356337,1,0.16858102960351806,0
2016,775163,2,0.10194418975126818,0
2010,209281,2,0.44233972228576107,1
2013,298740,2,0.13428835847241116,0
2019,429613,1,0.15449343077266453,0
2013,143094,2,0.1998166267890703,0
2017,903812,2,0.17401473854282803,0
2017,227914,2,0.12312967357423675,0
2015,98582,1,0.1524405660069535,0
2012,351796,1,0.2104089794984202,0
2016,825691,2,0.14244442806956092,0
2009,476282,1,0.11965019284248661,0
2019,465638,2,0.1291540247215291,0
2009,110523,1,0.1825494159199427,0
2014,88622,2,0.25301685479791536,0
2012,1121745,1,0.20787840557801107,0
2018,54871,2,0.14658518384785396,0
2009,1000821,1,0.12694825420215736,0
2010,368346,2,0.1766698056636198,0
2009,785011,1,0.1736575839026772,0
2018,292799,1,0.19993874774172926,0
2013,185695,1,0.13570722421460818,0
2015,1214933,1,0.14935956169555115,0
2019,899867,1,0.1576178911971305,0
2019,126966,1,0.32277787325408724,1
2018,171804,2,0.14971438814507376,0
2009,95039,2,0.161210147142175,0
2011,361574,2,0.2223528362352818,0
2013,96469,2,0.1311252554868675,0
2018,490428,1,0.23884956050957618,0
2009,894302,1,0.21690752009071682,0
2018,99545,1,0.29849433276033643,1
2018,98127,2,0.10423574406440204,0
2016,421209,2,0.19186473231953244,0
2017,276817,2,0.1590276037480337,0
2018,402628,2,0.1798642715266228,0
2015,110616,2,0.12808479290265834,0
2012,202341,2,0.16421402019516806,0
2009,824425,2,0.12786314517560396,0
2014,821600,1,0.13070967272445044,0
2017,1342006,1,0.19606493648916737,0
2012,916433,1,0.2977772423407174,1
2018,621478,1,0.15060514313329432,0
2011,191048,1,0.19451620872784953,0
2019,213239,1,0.23003060317735577,0
2013,1281231,1,0.19049276788912245,0
2010,870834,2,0.11622769356856812,0
2012,908770,2,0.15653157624313666,0
2014,791566,1,0.1418554413074453,0
2011,144660,1,0.1779232331592698,0
2015,221646,1,0.13122238559899455,0
2009,1279665,2,0.11470793134418902,0
2009,234723,1,0.23101322960383988,0
2015,263449,1,0.28254983141398154,1
2013,643115,1,0.13022071377924072,0
2013,163660,1,0.12034571165140605,0
2018,125703,1,0.16032665961166254,0
2011,1177346,2,0.13010623371961588,0
2018,582892,2,0.12711128608533998,0
2011,404722,2,0.14338361758772317,0
2011,836599,1,0.13632306837181613,0
2018,257262,2,0.27272936352259175,1
2010,583160,2,0.2249627213249612,0
2019,299928,1,0.1746904674302445,0
2012,4851,2,0.1607490613317848,0
2018,870178,1,0.20609333320716086,0
2018,862314,1,0.215130624510975,0
2013,147679,1,0.2140014227687771,0
2017,439000,1,0.11530883200877107,0
2019,805056,1,0.11090171045547302,0
2012,171299,1,0.1626178119880955,0
2010,1168196,1,0.15684356016724227,0
2010,129842,1,0.27089320335996137,1
2017,724792,2,0.12832000487333126,0
2019,305482,1,0.12082761429498066,0
2011,1188429,1,0.13563170784784775,0
2014,701579,1,0.20108964852077313,0
2010,1007290,2,0.11078088416510812,0
2019,1007404,1,0.12566976680573358,0
2015,588531,1,0.22690963429874847,0
2014,1017410,2,0.14670119503833393,0
2011,650337,1,0.12997641493902537,0
2019,807020,1,0.4453285279216657,1
2016,637572,2,0.16682025502527564,0
2013,220497,1,0.12186270029621205,0
2019,1294691,1,0.22119832196731257,0
2012,741714,2,0.20065344299747065,0
2016,1232877,1,0.12375277843694388,0
2013,560435,1,0.217810606980641,0
2015,1076851,1,0.38162681373158985,1
2013,1200607,1,0.18657308343602802,0
2013,627252,2,0.20855563018655068,0
2013,245269,2,0.18177580863956444,0
2011,358639,1,0.416866946687189,1
2015,934825,2,0.12265365133402643,0
2011,895753,1,0.120435856412364,0
2011,810005,2,0.1104202025979896,0
2016,44132,2,0.21850975881774717,0
2015,664311,1,0.19924449951519213,0
2013,194206,4,0.4216513941765893,1
2013,842792,1,0.23078254910751228,0
2017,291193,1,0.20595703901846776,0
2014,81308,2,0.23565146551396451,0
2014,1285471,1,0.16376004416319534,0
2019,126427,2,0.15560112855050864,0
2014,1006219,1,0.17881662639467297,0
